Match_Number,League,Date,Time,First_Half_Start_Time,First_Half_End_Time,Half_Time,Second_Half_Start_Time,Second_Half_End_Time,Stadium,Home_Team,Home_Score,Away_Score,Away_Team
1,K1,2024-03-01,14:00:00,14:00:00,14:47:00,15,15:02:00,15:54:00,울산 문수,울산 HD,1,0,포항 스틸러스
2,K1,2024-03-01,16:30:00,16:30:00,17:22:00,15,17:37:00,18:29:00,전주 월드컵,전북 현대,1,1,대전 하나 시티즌
3,K1,2024-03-02,14:00:00,14:00:00,14:48:00,15,15:03:00,15:57:00,광주 전용,광주FC,2,0,FC서울
4,K1,2024-03-02,16:30:00,16:30:00,17:18:00,16,17:34:00,18:28:00,인천 전용,인천 Utd,0,1,수원FC
5,K1,2024-03-02,16:30:00,16:30:00,17:21:00,17,17:38:00,18:30:00,춘천 송암,강원FC,1,1,제주 Utd
6,K1,2024-03-03,14:00:00,14:00:00,14:48:00,15,15:03:00,15:55:00,DGB대구은행파크,대구FC,0,1,김천 상무
7,K1,2024-03-09,14:00:00,14:01:00,14:51:00,16,15:07:00,15:58:00,수원 종합,수원FC,1,1,전북 현대
8,K1,2024-03-09,16:30:00,16:30:00,17:16:00,15,17:31:00,18:20:00,포항 스틸야드,포항 스틸러스,3,1,대구FC
9,K1,2024-03-09,16:30:00,16:30:00,17:19:00,16,17:35:00,18:28:00,김천 종합,김천 상무,2,3,울산 HD
10,K1,2024-03-10,14:00:00,14:00:00,14:52:00,15,15:07:00,15:57:00,제주 월드컵,제주 Utd,3,1,대전 하나 시티즌
11,K1,2024-03-10,16:30:00,16:26:00,17:18:00,17,17:35:00,18:29:00,광주 전용,광주FC,4,2,강원FC
12,K1,2024-03-10,16:00:00,16:00:00,16:49:00,16,17:05:00,17:55:00,서울 월드컵,FC서울,0,0,인천 Utd
13,K1,2024-03-16,14:00:00,14:00:00,14:48:00,16,15:04:00,15:55:00,대전 월드컵,대전 하나 시티즌,1,1,강원FC
14,K1,2024-03-16,16:30:00,16:30:00,17:17:00,15,17:32:00,18:24:00,DGB대구은행파크,대구FC,1,1,수원FC
15,K1,2024-03-16,16:30:00,16:30:00,17:21:00,16,17:37:00,18:29:00,서울 월드컵,FC서울,2,0,제주 Utd
16,K1,2024-03-17,14:00:00,14:00:00,14:53:00,15,15:08:00,16:04:00,포항 스틸야드,포항 스틸러스,1,0,광주FC
17,K1,2024-03-17,14:00:00,14:00:00,14:49:00,15,15:04:00,15:57:00,김천 종합,김천 상무,1,0,전북 현대
18,K1,2024-03-17,16:30:00,16:30:00,17:20:00,15,17:35:00,18:24:00,울산 문수,울산 HD,3,3,인천 Utd
19,K1,2024-03-30,14:00:00,14:00:00,14:50:00,15,15:05:00,15:55:00,전주 월드컵,전북 현대,2,2,울산 HD
20,K1,2024-03-30,14:00:00,14:00:00,14:51:00,15,15:06:00,16:04:00,인천 전용,인천 Utd,2,0,대전 하나 시티즌
21,K1,2024-03-30,16:30:00,16:30:00,17:17:00,16,17:33:00,18:27:00,제주 월드컵,제주 Utd,0,2,포항 스틸러스
22,K1,2024-03-30,16:30:00,16:30:00,17:19:00,15,17:34:00,18:25:00,수원 종합,수원FC,1,4,김천 상무
23,K1,2024-03-31,14:00:00,14:00:00,14:50:00,16,15:06:00,15:59:00,춘천 송암,강원FC,1,1,FC서울
24,K1,2024-03-31,16:30:00,16:30:00,17:20:00,14,17:34:00,18:25:00,광주 전용,광주FC,1,2,대구FC
25,K1,2024-04-02,19:30:00,19:30:00,20:19:00,15,20:34:00,21:26:00,포항 스틸야드,포항 스틸러스,1,1,수원FC
26,K1,2024-04-02,19:30:00,19:31:00,20:19:00,16,20:35:00,21:26:00,대전 월드컵,대전 하나 시티즌,2,0,울산 HD
27,K1,2024-04-03,19:30:00,19:30:00,20:18:00,15,20:33:00,21:29:00,광주 전용,광주FC,2,3,인천 Utd
28,K1,2024-04-03,19:30:00,19:30:00,20:18:00,15,20:33:00,21:22:00,서울 월드컵,FC서울,5,1,김천 상무
29,K1,2024-04-03,19:30:00,19:30:00,20:20:00,14,20:34:00,21:28:00,제주 월드컵,제주 Utd,2,0,전북 현대
30,K1,2024-04-03,19:30:00,19:30:00,20:21:00,15,20:36:00,21:28:00,춘천 송암,강원FC,3,0,대구FC
31,K1,2024-04-06,14:00:00,14:00:00,14:46:00,16,15:02:00,15:54:00,울산 문수,울산 HD,3,0,수원FC
32,K1,2024-04-06,16:30:00,16:30:00,17:18:00,15,17:33:00,18:27:00,인천 전용,인천 Utd,0,1,제주 Utd
33,K1,2024-04-06,16:30:00,16:30:00,17:18:00,15,17:33:00,18:29:00,김천 종합,김천 상무,2,1,광주FC
34,K1,2024-04-07,14:00:00,14:00:00,14:54:00,14,15:08:00,16:02:00,전주 월드컵,전북 현대,2,3,강원FC
35,K1,2024-04-07,14:00:00,14:00:00,14:51:00,15,15:06:00,16:01:00,DGB대구은행파크,대구FC,0,0,FC서울
36,K1,2024-04-07,16:30:00,16:30:00,17:18:00,16,17:34:00,18:27:00,대전 월드컵,대전 하나 시티즌,1,2,포항 스틸러스
37,K1,2024-04-13,14:00:00,14:00:00,14:47:00,15,15:02:00,15:57:00,전주 월드컵,전북 현대,2,1,광주FC
38,K1,2024-04-13,14:00:00,14:00:00,14:49:00,16,15:05:00,15:59:00,서울 월드컵,FC서울,2,4,포항 스틸러스
39,K1,2024-04-13,16:30:00,16:30:00,17:17:00,15,17:32:00,18:21:00,울산 문수,울산 HD,4,0,강원FC
40,K1,2024-04-13,16:30:00,16:30:00,17:19:00,15,17:34:00,18:24:00,제주 월드컵,제주 Utd,0,2,김천 상무
41,K1,2024-04-14,14:00:00,14:00:00,14:47:00,16,15:03:00,15:57:00,수원 종합,수원FC,1,0,대전 하나 시티즌
42,K1,2024-04-14,16:30:00,16:30:00,17:17:00,15,17:32:00,18:22:00,인천 전용,인천 Utd,1,1,대구FC
43,K1,2024-05-15,16:30:00,16:30:00,17:17:00,15,17:32:00,18:26:00,광주 전용,광주FC,2,1,울산 HD
44,K1,2024-04-20,14:00:00,14:00:00,14:48:00,15,15:03:00,15:57:00,수원 종합,수원FC,2,1,제주 Utd
45,K1,2024-04-20,16:30:00,16:30:00,17:18:00,15,17:33:00,18:27:00,포항 스틸야드,포항 스틸러스,0,0,김천 상무
46,K1,2024-04-20,16:30:00,16:30:00,17:20:00,16,17:36:00,18:32:00,서울 월드컵,FC서울,2,3,전북 현대
47,K1,2024-04-21,14:00:00,14:00:00,14:50:00,15,15:05:00,15:55:00,춘천 송암,강원FC,4,1,인천 Utd
48,K1,2024-04-21,16:30:00,16:30:00,17:16:00,15,17:31:00,18:23:00,DGB대구은행파크,대구FC,0,0,대전 하나 시티즌
49,K1,2024-04-27,14:00:00,14:00:00,14:51:00,15,15:06:00,15:59:00,대전 월드컵,대전 하나 시티즌,3,1,FC서울
50,K1,2024-04-27,16:30:00,16:30:00,17:18:00,15,17:33:00,18:26:00,광주 전용,광주FC,1,2,수원FC
51,K1,2024-04-27,16:30:00,16:30:00,17:18:00,15,17:33:00,18:27:00,김천 종합,김천 상무,1,0,강원FC
52,K1,2024-04-28,14:00:00,14:00:00,14:46:00,16,15:02:00,15:58:00,포항 스틸야드,포항 스틸러스,0,0,인천 Utd
53,K1,2024-04-28,14:00:00,14:00:00,14:48:00,15,15:03:00,15:58:00,전주 월드컵,전북 현대,2,2,대구FC
54,K1,2024-04-28,16:30:00,16:30:00,17:22:00,15,17:37:00,18:30:00,울산 문수,울산 HD,3,1,제주 Utd
55,K1,2024-04-30,19:30:00,19:30:00,20:16:00,15,20:31:00,21:21:00,대전 월드컵,대전 하나 시티즌,0,0,김천 상무
56,K1,2024-04-30,19:30:00,19:30:00,20:16:00,16,20:32:00,21:23:00,수원 종합,수원FC,0,2,FC서울
57,K1,2024-05-01,19:00:00,19:00:00,19:49:00,15,20:04:00,21:00:00,DGB대구은행파크,대구FC,1,2,울산 HD
58,K1,2024-05-01,19:00:00,19:00:00,19:52:00,15,20:07:00,21:01:00,인천 전용,인천 Utd,3,0,전북 현대
59,K1,2024-05-01,19:00:00,19:00:00,19:52:00,15,20:07:00,21:00:00,제주 월드컵,제주 Utd,1,3,광주FC
60,K1,2024-05-01,19:00:00,19:00:00,19:47:00,15,20:02:00,20:53:00,춘천 송암,강원FC,2,4,포항 스틸러스
61,K1,2024-05-04,14:30:00,14:30:00,15:17:00,16,15:33:00,16:27:00,서울 월드컵,FC서울,0,1,울산 HD
62,K1,2024-05-04,16:30:00,16:30:00,17:18:00,15,17:33:00,18:24:00,포항 스틸야드,포항 스틸러스,1,0,전북 현대
63,K1,2024-05-05,14:00:00,14:01:00,14:47:00,16,15:03:00,15:57:00,수원 종합,수원FC,1,2,강원FC
64,K1,2024-05-05,16:30:00,16:30:00,17:20:00,15,17:35:00,18:27:00,김천 종합,김천 상무,2,2,인천 Utd
65,K1,2024-05-06,14:00:00,14:00:00,14:47:00,14,15:01:00,15:52:00,제주 월드컵,제주 Utd,1,0,대구FC
66,K1,2024-05-06,16:30:00,16:30:00,17:19:00,15,17:34:00,18:28:00,광주 전용,광주FC,2,1,대전 하나 시티즌
67,K1,2024-05-11,16:30:00,16:30:00,17:24:00,17,17:41:00,18:33:00,인천 전용,인천 Utd,1,2,FC서울
68,K1,2024-05-11,19:00:00,19:00:00,19:50:00,15,20:05:00,20:57:00,DGB대구은행파크,대구FC,3,2,광주FC
69,K1,2024-05-11,19:00:00,19:00:00,19:50:00,15,20:05:00,21:03:00,춘천 송암,강원FC,3,3,대전 하나 시티즌
